,Start values,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
"Serie3, year3 %",2.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Serie4, year4 %",2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Serie5, std dev",7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Serie6, hwm lead",3704919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Serie7, real months",6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439637.3870752653,305966.2610569413,270704.5876391358,226481.49677053888,172572.55855923425,234506.43494653262,128744.62187819317,145527.68941177157,175619.50266192862,250020.26363539248,254514.12416750166,249371.16109707917,222928.29133020403,202851.19992134676,161800.02172812304,154431.6160468553,207224.426093012,263187.5053779653,233746.87875805804,179569.87459243688,178486.54434457232,254028.13692267248,281772.63424784865,384438.18172185606,470899.70519368316,520606.6338830557,392892.4359298019,344739.3023265948,236535.57154347366,328458.17099965084,357341.3012900273,411585.5859002416,508366.5397843159,601402.6407822522,701016.6470303105,710034.8571707383
Serie14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444648.17154242884,393403.8331745603,329136.2357383292,250792.5950942734,332541.64866985055,182566.20048192795,206365.4149837649,249037.08491876698,342165.73300314264,348315.8148430106,341277.4024231059,305088.9599947592,277612.41629948135,221431.74408960433,211347.69772337773,283597.40374353324,360185.78808574687,319894.7595067082,245750.71184952484,244268.118067104,347650.7160248618,385620.5034574385,526123.6442622221,644450.7355353083,712477.2524385024,537693.7308063881,471793.6632831922,323711.2306085618,449512.0883676156,489040.1542272858,563276.2786717913,695726.0471224788,823050.7896486957,959377.7375914127,971719.6271575153
Serie15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455122.67226923106,380772.505293298,290137.9865660699,383330.6395405589,210449.48405457364,237883.54577900277,287072.44765603554,394424.60752089985,401513.98960080865,393400.60246549995,351685.10957754834,320012.08122394263,255250.9510191318,243626.7711361482,326911.15408819116,415196.86046124867,368752.1946134423,283284.1477680651,281575.1178613827,400747.31043042964,444516.21263551543,606478.3579414907,742877.5120147248,821293.6993841062,619815.5404936769,543850.5745097845,373151.55425489903,518165.9410314722,563731.1170820427,649305.3035761294,801984.0872722066,948755.1013004918,1105903.225003266,1120130.0878321384
Serie16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460167.37205366034,350634.6518066165,452618.9710116474,248488.95208814833,280881.8148221676,338961.7798869477,465718.2118594869,474089.0241325748,464509.1143685028,415253.40267058474,377855.3655102525,301388.4382904903,287663.1479150684,386001.46952242637,490245.12096000405,435405.42202487704,334488.73176527454,332470.78882515937,473183.76506534003,524864.046876675,716101.406976801,877155.177261068,969745.360191203,731849.3311453471,642153.4362965185,440599.98105207324,611826.2169808421,665627.4553130878,766669.4703279459,946945.4692792809,1120245.8488770085,1305799.036412478,1322597.4536275642
Serie17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461171.61352898553,569049.2445290198,312409.4647281805,353134.965088287,426155.2367938989,585518.0926899929,596042.1862547152,583997.9707820036,522071.87548866635,475053.68545259815,378916.6475626387,361660.7068723527,485295.2675136008,616354.2263657113,547407.7366074863,420531.5559112995,417994.52370734955,594904.0612062631,659878.415365692,900309.0695370578,1102791.8026491306,1219199.5915878785,920107.9399445044,807338.9566051674,553938.5275804773,769210.4592474914,836851.3580795962,963885.1016749685,1190534.7288010302,1408414.3502986927,1641698.6533207446,1662818.2422857464
Serie18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474531.51802078023,260518.99544163738,294480.0870234954,355371.86521649285,488264.9296596067,497040.9963059894,486997.2963861949,435356.97828161967,396148.3978170741,315979.49333904125,301589.72336857894,404688.87744878745,513979.25484976004,456484.6131087741,350682.2643572682,348566.6271701837,496091.91112200596,550274.1795427509,750769.8737196176,919620.7062977258,1016693.4382723828,767280.1988274533,673241.8754940028,461930.6552291793,641446.4308906727,697852.3372541101,803786.0780818785,992789.741039011,1174480.075450493,1369016.4104123232,1386628.0858655293
