,Start values,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
"Serie6, hwm lead",12000.0,0.0,0.0,0.0,0.0,0.0,-500.0,-531.5233466157345,-606.2588556425808,-468.4286581459479,-468.68909146172433,-581.5947795091527,-589.5919179796281,-583.7120013911278,-533.1735393421601,-618.6685485473164,-749.8293963259147,-804.7716992491255,-1067.5826496515053,-783.6365105993707,-916.2553380934881,-988.486294420843,-848.131930707296,-793.8792795816142,-707.5337867676659,-596.6031797194948,-616.2404228955093,-777.0068092661468,-875.8267350601428,-792.1529640515122,-1129.8694185007234,-1363.0566620200111,-1320.1985266747865,-1280.09286976047,-1128.8123892468932,-1080.8219165347136,-849.6519569338006,-858.8466742543745,-856.4914465079161,-940.501254339798,-855.0113799605318,-835.6947172849187,-884.6614971757009,-762.7307819455549,-682.9540152665614,-856.1441677834115,-819.7798081374784,-985.6886615275416,-1020.0528998102662
"Serie7, real months",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-500.0,-570.3031292065486,-433.22257207958523,-433.463431789925,-537.8833722178274,-545.2794630359441,-539.8414682766871,-493.1013678642596,-572.1707568602797,-693.4738386479856,-744.2867967675401,-987.345443850839,-724.740083241355,-847.3915661386283,-914.1937998186933,-784.3881668942628,-734.2130278328921,-654.357075738938,-551.7637734888755,-569.9251238873275,-718.6086559391345,-810.0014895771014,-732.6164584489184,-1044.9508737026088,-1260.6122677202632,-1220.9752572472441,-1183.8838548720541,-1043.973288484146,-999.5896760340131,-785.7939512330802,-794.2976134618814,-792.1193995451828,-869.8152116948743,-790.7505716023225,-772.8857075663661,-818.1722500565356,-705.4055839934844,-631.6246667676678,-791.7982215394351,-758.16692861173,-911.6064309703236,-943.3879273359008
Serie8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-500.0,-379.8178108213426,-380.0289789686004,-471.5767323302029,-478.06108287936325,-473.2934474932285,-432.31515190027244,-501.63739909364455,-607.987053843455,-652.5361326730324,-865.6321465608237,-635.3990063579621,-742.9308404090183,-801.4981445837346,-687.6940759430571,-643.7041901334014,-573.6923420438984,-483.74605120660414,-499.66859263095114,-630.0234201230143,-710.149960691992,-642.3044350713915,-916.1363669496496,-1105.2124766298646,-1070.4616498825476,-1037.9426258095125,-915.2792918536188,-876.3669922561372,-688.9265646554834,-696.3819526704783,-694.4722542968002,-762.5902499474536,-693.2721662447104,-677.6095623407031,-717.3134848434393,-618.4479339740786,-553.7622313649535,-694.1906689527093,-664.7052153357042,-799.2297291430112,-827.093416661081
Serie9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-500.0,-500.2779861044446,-620.7933368243512,-629.329469628574,-623.053256072626,-569.1085825667392,-660.3658185603135,-800.3666975604756,-859.0120237673241,-1139.53601160636,-836.4523572287645,-978.0094814438222,-1055.1086886243208,-905.2946654291208,-847.3854724471894,-755.220431610762,-636.8132791884091,-657.7740411257114,-829.3758246363049,-934.8560552707067,-845.5428060132707,-1206.0208089880473,-1454.92449951186,-1409.1777944374328,-1366.3690804349037,-1204.89253765425,-1153.667583888476,-906.9171389905387,-916.7315655426702,-914.2175992155666,-1003.8895336403249,-912.6377785516875,-892.0192037274347,-944.2862662131009,-814.137615922627,-728.9840228496158,-913.8469144608388,-875.0316551747567,-1052.1224997515321,-1088.8028326956555
Serie10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-500.0,-620.4483847653714,-628.9797743540797,-622.7070482595144,-568.7923498276064,-659.9988775265109,-799.9219631796678,-858.5347023324605,-1138.9028132935434,-835.9875713721051,-977.466037491844,-1054.5224034743385,-904.7916264299904,-846.9146114599158,-754.8007833519708,-636.4594254357814,-657.4085402474477,-828.9149709489254,-934.3365900928673,-845.0729689280637,-1205.3506675149436,-1454.1160513987832,-1408.3947660883434,-1365.6098393160592,-1204.2230231200913,-1153.0265331799167,-906.4131984424347,-916.2221714781606,-913.7096020698209,-1003.3317090937719,-912.1306592542668,-891.5235414148381,-943.7615610133602,-813.685229548215,-728.5789531996556,-913.3391232909983,-874.5454322190324,-1051.5378739170405,-1088.1978249472118
Serie11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-500.0,-506.87518075491045,-501.8201864567647,-458.3720127200433,-531.872508440888,-644.6321586300573,-691.8663368405121,-917.8062521060718,-673.696307298988,-787.7093900901054,-849.806711861387,-729.1433491056196,-682.5020680650047,-608.2704072454035,-512.9027982532862,-529.7850364265618,-667.9967192294225,-752.9527137428163,-681.0179457938599,-971.3545051541702,-1171.8267684335021,-1134.9814107590441,-1100.5023728383767,-970.4457717103088,-929.1881174095928,-730.4501234097042,-738.3548688136553,-736.3300675005777,-808.5537280213819,-735.0576467365594,-718.4510132554992,-760.548003820054,-655.7235456869776,-587.1390522478149,-736.0315102088517,-704.7688846427975,-847.4015725858401,-876.9446836087131
Serie12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-500.0,-495.0135709045597,-452.15472183642004,-524.6582675923765,-635.88846239224,-682.48196312363,-905.3572624518176,-664.5583892030618,-777.0250152285391,-838.2800580171775,-719.2533554510165,-673.2447099190434,-600.0199164807015,-505.94585977695607,-522.5991097428866,-658.9361095117611,-742.7397733515107,-671.7807180651373,-958.1791948340135,-1155.9322816795366,-1119.586689043118,-1085.5753197457336,-957.2827873175635,-916.5847458004495,-720.5424048597274,-728.3399314541231,-726.3425942496638,-797.5866236113287,-725.0874324146305,-708.7060488792133,-750.232042025946,-646.8294074986874,-579.1751840890731,-726.0480865453396,-695.2095026562118,-835.9075416986974,-865.0499342882036
Serie13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-500.0,-465.3675360941545,-539.9897722824697,-654.4703232829125,-702.4253740347935,-931.8135102094042,-683.9780394597188,-799.7311525395243,-862.7761832761568,-740.2712958392731,-692.9181908594479,-617.5536307703624,-520.730552597484,-537.8704419546694,-678.1914661457297,-764.4440311933115,-691.4114184007923,-986.1789991389383,-1189.7108043726523,-1152.3031249296605,-1117.2978792367087,-985.2563969031984,-943.3690818094751,-741.5980137043415,-749.6233987409604,-747.5676955741035,-820.8936099221843,-746.2758555415666,-729.415777065048,-772.1552380974799,-665.7309834526205,-596.0997759610267,-747.2645817988774,-715.5248362913468,-860.3343375535466,-890.3283258507063
Serie14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-500.0,-580.175592838536,-703.175740164327,-754.6995864067715,-1001.1586949426536,-734.879408650171,-859.2468216108227,-926.9836380481827,-795.3619864122829,-744.484882502907,-663.5117223189985,-559.4831098103588,-577.8985428045047,-728.6622008894448,-821.3336469592572,-742.8659766470086,-1059.5700415804376,-1278.2486014795265,-1238.05705765488,-1200.4467357287397,-1058.5787796592865,-1013.5742275097265,-796.7874380845283,-805.4100690312164,-803.2013812657241,-881.9841805167287,-801.8134030202073,-783.6986043193506,-829.618718763888,-715.2744141116106,-640.4612803077241,-802.8757098858829,-768.773905348846,-924.3600711540403,-956.5861999348532
Serie15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-500.0,-606.0025178963554,-650.4061836817099,-862.8066289762711,-633.3249948129836,-740.5058332486186,-798.8819673651492,-685.4493675965733,-641.6030695642334,-571.8197477704437,-482.16705142064126,-498.03761993598295,-627.9669550768511,-707.8319538924796,-640.2078834551644,-913.1459980903732,-1101.604942760205,-1066.9675464953884,-1034.5546680579052,-912.2917205807823,-873.5064349663245,-686.6778333316377,-694.1088861483388,-692.2054212380983,-760.1010723336193,-691.0092504040874,-675.3977709447145,-714.9720955210648,-616.4292525751538,-551.9546911429331,-691.9247550192321,-662.5355451334867,-796.6209562794312,-824.3936936873814
